time,x,y,z
1682085619621702306,-8.263137817382812,-34.16993713378906,0.12530285120010376
1682085619653296172,-10000000000.0,-10000000000.0,-10000000000.0
1682085619687139888,-10000000000.0,-10000000000.0,-10000000000.0
1682085619722187474,-10000000000.0,-10000000000.0,-10000000000.0
1682085619758704451,-10000000000.0,-10000000000.0,-10000000000.0
1682085619788456717,-8.263655662536621,-34.164981842041016,0.12497837841510773
1682085619821736139,-10000000000.0,-10000000000.0,-10000000000.0
1682085619854749667,-10000000000.0,-10000000000.0,-10000000000.0
1682085619888302155,-10000000000.0,-10000000000.0,-10000000000.0
1682085619921618897,-10000000000.0,-10000000000.0,-10000000000.0
1682085619960897549,-10000000000.0,-10000000000.0,-10000000000.0
1682085619990283491,-10000000000.0,-10000000000.0,-10000000000.0
1682085620022054511,-10000000000.0,-10000000000.0,-10000000000.0
1682085620054469599,-10000000000.0,-10000000000.0,-10000000000.0
1682085620088345304,-10000000000.0,-10000000000.0,-10000000000.0
1682085620120967757,-10000000000.0,-10000000000.0,-10000000000.0
1682085620160048959,-10000000000.0,-10000000000.0,-10000000000.0
1682085620188536109,-10000000000.0,-10000000000.0,-10000000000.0
1682085620222105345,-10000000000.0,-10000000000.0,-10000000000.0
1682085620255656018,-8.26523494720459,-34.15861511230469,0.12624907493591309
1682085620289198608,-10000000000.0,-10000000000.0,-10000000000.0
1682085620321709786,-10000000000.0,-10000000000.0,-10000000000.0
1682085620356292597,-10000000000.0,-10000000000.0,-10000000000.0
1682085620389136276,-10000000000.0,-10000000000.0,-10000000000.0
1682085620421332547,-10000000000.0,-10000000000.0,-10000000000.0
1682085620455071236,-10000000000.0,-10000000000.0,-10000000000.0
1682085620488489765,-10000000000.0,-10000000000.0,-10000000000.0
1682085620521794179,-10000000000.0,-10000000000.0,-10000000000.0
1682085620557300029,-8.268190383911133,-34.15150451660156,0.1281723827123642
1682085620588688891,-10000000000.0,-10000000000.0,-10000000000.0
1682085620622648477,-10000000000.0,-10000000000.0,-10000000000.0
1682085620654922912,-10000000000.0,-10000000000.0,-10000000000.0
1682085620689688837,-10000000000.0,-10000000000.0,-10000000000.0
1682085620721370383,-10000000000.0,-10000000000.0,-10000000000.0
1682085620759761411,-10000000000.0,-10000000000.0,-10000000000.0
1682085620788623300,-10000000000.0,-10000000000.0,-10000000000.0
1682085620822020186,-10000000000.0,-10000000000.0,-10000000000.0
1682085620854770136,-10000000000.0,-10000000000.0,-10000000000.0
1682085620889041411,-10000000000.0,-10000000000.0,-10000000000.0
1682085620921319113,-10000000000.0,-10000000000.0,-10000000000.0
1682085620960523642,-10000000000.0,-10000000000.0,-10000000000.0
1682085620988524915,-10000000000.0,-10000000000.0,-10000000000.0
1682085621022198831,-10000000000.0,-10000000000.0,-10000000000.0
1682085621054517641,-10000000000.0,-10000000000.0,-10000000000.0
1682085621090191801,-10000000000.0,-10000000000.0,-10000000000.0
1682085621122142709,-10000000000.0,-10000000000.0,-10000000000.0
1682085621156628441,-10000000000.0,-10000000000.0,-10000000000.0
1682085621189924336,-10000000000.0,-10000000000.0,-10000000000.0
1682085621221832819,-8.271450996398926,-34.145843505859375,0.12856316566467285
1682085621254725308,-10000000000.0,-10000000000.0,-10000000000.0
1682085621288806962,-10000000000.0,-10000000000.0,-10000000000.0
1682085621321764200,-10000000000.0,-10000000000.0,-10000000000.0
1682085621355920310,-10000000000.0,-10000000000.0,-10000000000.0
1682085621388676815,-10000000000.0,-10000000000.0,-10000000000.0
1682085621421854939,-10000000000.0,-10000000000.0,-10000000000.0
1682085621455375360,-10000000000.0,-10000000000.0,-10000000000.0
1682085621489725035,-10000000000.0,-10000000000.0,-10000000000.0
1682085621521727634,-10000000000.0,-10000000000.0,-10000000000.0
1682085621555966173,-10000000000.0,-10000000000.0,-10000000000.0
1682085621590181414,-8.273920059204102,-34.140769958496094,0.12837910652160645
1682085621623604332,-10000000000.0,-10000000000.0,-10000000000.0
1682085621655833757,-10000000000.0,-10000000000.0,-10000000000.0
1682085621689056465,-10000000000.0,-10000000000.0,-10000000000.0
1682085621722493256,-10000000000.0,-10000000000.0,-10000000000.0
1682085621760023391,-10000000000.0,-10000000000.0,-10000000000.0
1682085621789823258,-10000000000.0,-10000000000.0,-10000000000.0
1682085621821724421,-10000000000.0,-10000000000.0,-10000000000.0
1682085621855168965,-10000000000.0,-10000000000.0,-10000000000.0
1682085621888798039,-10000000000.0,-10000000000.0,-10000000000.0
1682085621921754947,-10000000000.0,-10000000000.0,-10000000000.0
1682085621955417932,-10000000000.0,-10000000000.0,-10000000000.0
1682085621989345063,-10000000000.0,-10000000000.0,-10000000000.0
1682085622022701131,-10000000000.0,-10000000000.0,-10000000000.0
1682085622055727277,-10000000000.0,-10000000000.0,-10000000000.0
1682085622088948075,-10000000000.0,-10000000000.0,-10000000000.0
1682085622122813161,-8.278409957885742,-34.13393783569336,0.12833061814308167
1682085622155813950,-10000000000.0,-10000000000.0,-10000000000.0
1682085622189059006,-10000000000.0,-10000000000.0,-10000000000.0
1682085622222150632,-10000000000.0,-10000000000.0,-10000000000.0
1682085622255274951,-10000000000.0,-10000000000.0,-10000000000.0
1682085622288741265,-10000000000.0,-10000000000.0,-10000000000.0
1682085622322728318,-10000000000.0,-10000000000.0,-10000000000.0
1682085622355947191,-10000000000.0,-10000000000.0,-10000000000.0
1682085622390026451,-10000000000.0,-10000000000.0,-10000000000.0
1682085622423849065,-10000000000.0,-10000000000.0,-10000000000.0
1682085622455210371,-10000000000.0,-10000000000.0,-10000000000.0
1682085622489994050,-8.28152084350586,-34.12336730957031,0.1298665553331375
1682085622522206440,-10000000000.0,-10000000000.0,-10000000000.0
1682085622554932929,-10000000000.0,-10000000000.0,-10000000000.0
1682085622589731295,-10000000000.0,-10000000000.0,-10000000000.0
1682085622623521688,-10000000000.0,-10000000000.0,-10000000000.0
1682085622655814731,-10000000000.0,-10000000000.0,-10000000000.0
1682085622690416749,-8.283507347106934,-34.112064361572266,0.1312587410211563
1682085622722370332,-10000000000.0,-10000000000.0,-10000000000.0
1682085622755731290,-10000000000.0,-10000000000.0,-10000000000.0
1682085622789904579,-10000000000.0,-10000000000.0,-10000000000.0
1682085622822047538,-10000000000.0,-10000000000.0,-10000000000.0
1682085622856809969,-10000000000.0,-10000000000.0,-10000000000.0
1682085622890218465,-10000000000.0,-10000000000.0,-10000000000.0
1682085622922360210,-10000000000.0,-10000000000.0,-10000000000.0
1682085622956057455,-10000000000.0,-10000000000.0,-10000000000.0
1682085622991238161,-10000000000.0,-10000000000.0,-10000000000.0
1682085623022203646,-10000000000.0,-10000000000.0,-10000000000.0
1682085623055685513,-10000000000.0,-10000000000.0,-10000000000.0
1682085623090600293,-8.285826683044434,-34.10247802734375,0.13174442946910858
1682085623124300106,-10000000000.0,-10000000000.0,-10000000000.0
1682085623160654954,-10000000000.0,-10000000000.0,-10000000000.0
1682085623189467189,-10000000000.0,-10000000000.0,-10000000000.0
1682085623222671797,-10000000000.0,-10000000000.0,-10000000000.0
1682085623255713750,-10000000000.0,-10000000000.0,-10000000000.0
1682085623289368424,-10000000000.0,-10000000000.0,-10000000000.0
1682085623323031078,-10000000000.0,-10000000000.0,-10000000000.0
1682085623356549791,-10000000000.0,-10000000000.0,-10000000000.0
1682085623389842541,-10000000000.0,-10000000000.0,-10000000000.0
1682085623421695475,-10000000000.0,-10000000000.0,-10000000000.0
1682085623455898506,-10000000000.0,-10000000000.0,-10000000000.0
1682085623489835639,-10000000000.0,-10000000000.0,-10000000000.0
1682085623522469774,-10000000000.0,-10000000000.0,-10000000000.0
1682085623556773944,-10000000000.0,-10000000000.0,-10000000000.0
1682085623591721870,-10000000000.0,-10000000000.0,-10000000000.0
1682085623623512443,-10000000000.0,-10000000000.0,-10000000000.0
1682085623656783029,-10000000000.0,-10000000000.0,-10000000000.0
1682085623690803838,-10000000000.0,-10000000000.0,-10000000000.0
1682085623724678299,-10000000000.0,-10000000000.0,-10000000000.0
1682085623756717071,-10000000000.0,-10000000000.0,-10000000000.0
1682085623790643077,-10000000000.0,-10000000000.0,-10000000000.0
1682085623823496591,-10000000000.0,-10000000000.0,-10000000000.0
1682085623856249220,-10000000000.0,-10000000000.0,-10000000000.0
1682085623888960517,-10000000000.0,-10000000000.0,-10000000000.0
1682085623922931946,-10000000000.0,-10000000000.0,-10000000000.0
1682085623960928585,-10000000000.0,-10000000000.0,-10000000000.0
1682085623990091795,-10000000000.0,-10000000000.0,-10000000000.0
1682085624023899619,-10000000000.0,-10000000000.0,-10000000000.0
1682085624055659521,-10000000000.0,-10000000000.0,-10000000000.0
1682085624089742951,-10000000000.0,-10000000000.0,-10000000000.0
1682085624123770507,-10000000000.0,-10000000000.0,-10000000000.0
