time,x_uav4,y_uav4,z_uav4,x_uav8,y_uav8,z_uav8,x_uav11,y_uav11,z_uav11
1683729938131874280,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.125310658380823,-0.1113963759362151,0.270123368372513
1683729938131874280,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.125310658380823,-0.1113963759362151,0.270123368372513
1683729938131874280,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.125310658380823,-0.1113963759362151,0.270123368372513
1683729938131874280,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.125310658380823,-0.1113963759362151,0.270123368372513
1683729938131874280,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.125310658380823,-0.1113963759362151,0.270123368372513
1683729938437708970,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.093525225769765,-0.1455277363974159,0.3234169664719259
1683729938437708970,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.093525225769765,-0.1455277363974159,0.3234169664719259
1683729938437708970,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.093525225769765,-0.1455277363974159,0.3234169664719259
1683729938797113868,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.067031502825548,-0.1756637954711915,0.3893780985962457
1683729939076826049,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,6.01770671964117,0.0100095273354025,0.1112287671488615
1683729939370376549,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,5.894966237962694,-0.2597708365474738,0.1338376929492908
1683729940108655019,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,5.812889574485984,-0.5655726191215559,0.2517240757963515
1683729940540549382,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,5.808676133301043,-0.5561361221179996,0.2884409705640954
1683729940887757912,0.2108312700390444,-0.54489750208579,0.2004402629755498,-6.179995704606384,-0.1793478178531823,0.1109241319824816,5.8083780095268,-0.5600374337772895,0.3714096098142487
1683729952203309059,1.8107687599419544,3.969333022766093,0.0027161044501085,1.915496742288883,3.818330345063509,0.0404505827296644,7.992761106156126,1.8771218645062615,0.0462175111969758
1683729952470938350,1.8107687599419544,3.969333022766093,0.0027161044501085,1.9571252116428703,3.8619125620617143,0.0857945638314294,7.364826176668672,1.539611454262762,-0.1589395551359507
1683729952754641730,1.8107687599419544,3.969333022766093,0.0027161044501085,1.9615708337795148,3.602423711928837,0.0969467824897671,7.448136890742374,1.1184889169312917,-0.2712704412016311
